編號,提問者,問題描述,建議 or 正確答案 (if have),應參考的文件,應參考的文件段落
basic_1,客戶A,你好,您好！歡迎來到 MaiAgent 客服系統,,問候語手冊,標準問候語回應
basic_2,客戶A,請問營業時間,週一到週五 09:00-18:00,營業資訊,營業時間說明
basic_3,客戶A,我想申請信用卡,請您提供身分證和相關文件,信用卡申請手冊,信用卡申請流程說明
multi_1,客戶B,請問信用卡有什麼優惠？,超商1.5%回饋、網購2%回饋、指定通路3%回饋,信用卡優惠手冊,"超商消費可享1.5%現金回饋---網路購物享有2%回饋|||指定合作通路最高3%回饋"
multi_2,客戶B,信用卡年費怎麼算？,首年免年費、次年刷滿條件免年費,信用卡費用說明,"首年度免收年費---次年度刷卡滿12萬元免年費|||一般年費為新台幣3000元"
multi_3,客戶B,現金預借服務如何使用？,需要密碼和手續費,信用卡服務手冊,"現金預借需設定預借密碼---每筆收取手續費150元加3.5%|||單日限額最高5萬元

國外提領另加匯率成本"
complex_1,客戶C,我要辦理國旅卡機場接送,需刷卡滿10萬元才符合資格,國旅卡手冊,"國旅卡年度刷卡滿10萬元---可享免費機場接送服務|||須於搭乘前3日預約---服務範圍限桃園機場"
complex_2,客戶C,國旅卡的返還機制是什麼,系統自動檢核並於次期帳單返還,國旅卡手冊,"消費後等待商家請款入帳---系統自動檢核當期帳單符合條件---於次期帳單自動返還費用|||如有問題可撥打客服專線查詢"
complex_3,客戶C,外幣帳戶開戶需要什麼,身分證、印鑑、台幣帳戶,外匯服務手冊,"本人攜帶身分證正本---原留印鑑---既有台幣帳戶存摺

可選擇臨櫃開戶或線上數位開戶"
international_1,客戶D,想要匯款到大陸帳戶,需要先約定帳戶並有額度限制,跨境匯款手冊,"首次匯款需至分行約定帳戶---約定完成後可使用網路銀行操作|||每日限額：有足夠外幣8萬人民幣---須購買外幣2萬人民幣"
international_2,客戶D,支付寶可以跨境儲值嗎,目前未開放跨境儲值功能,第三方支付手冊,"支付寶暫未開放台灣用戶跨境儲值---如有開放將另行公告|||建議使用其他跨境支付方式"
international_3,客戶D,阿里巴巴平台如何付款,建議使用信用卡或其他國際支付方式,跨境電商手冊,"阿里巴巴平台支援國際信用卡付款---部分商家接受PayPal支付|||不支援支付寶跨境儲值功能"
technical_1,客戶E,忘記網銀密碼怎麼辦,可透過手機簡訊或臨櫃重設,網路銀行手冊,"可使用手機簡訊驗證重設---或攜帶身分證印鑑至分行辦理|||密碼須包含英文數字且長度8-12位"
technical_2,客戶E,手機APP無法登入,請確認版本並重新安裝,行動銀行手冊,"請確認APP版本是否為最新---清除快取後重新安裝|||如持續無法登入請撥打客服專線"
technical_3,客戶E,數位帳戶有什麼限制,轉帳和提領有每日限額,數位帳戶手冊,"非約定轉帳每日限額5萬元---ATM提領每日限額3萬元|||約定轉帳不受此限制"
investment_1,客戶F,基金定期定額如何設定,可透過網銀或臨櫃辦理,投資理財手冊,"可透過網路銀行設定定期定額---或至分行櫃檯辦理|||最低投資金額每月3000元起"
investment_2,客戶F,外幣存款利率如何,不同幣別利率不同請洽詢,外幣存款手冊,"美元活存年利率約0.1%---定存利率依期別而定|||人民幣存款利率較優惠"
investment_3,客戶F,理財規劃服務內容,提供個人化投資建議,財富管理手冊,"資產配置分析建議---風險評估與投資組合建議|||專業理財顧問一對一服務"
loan_1,客戶G,房貸利率目前多少,依個人條件而定約1.5-2.5%,房屋貸款手冊,"目前房貸利率約1.5%-2.5%---實際利率依個人信用條件而定|||可申請寬限期最長3年"
loan_2,客戶G,信貸額度如何計算,依月收入的15-22倍計算,信用貸款手冊,"信貸額度為月收入15-22倍---最高可貸350萬元|||還款期限最長7年"
loan_3,客戶G,車貸需要什麼文件,身分證、收入證明、行照等,汽車貸款手冊,"身分證影本---最近3個月薪資證明---汽車行照影本|||車齡不超過15年"
insurance_1,客戶H,保險商品有哪些種類,提供壽險、醫療險、投資型保險,保險商品手冊,"終身壽險保障終身---醫療險實支實付---投資型保險結合保障與投資"
insurance_2,客戶H,保險理賠如何申請,需填寫理賠申請書並檢附相關文件,保險理賠手冊,"填寫理賠申請書---檢附醫療收據正本---身分證明文件|||理賠審核約7-10個工作天"
special_chars_1,客戶I,這是測試多種分隔符號的範例,展示不同的分隔方式,測試手冊,"第一段內容使用三個破折號---第二段內容使用三個直線|||第三段內容用雙換行

第四段展示完整功能"
edge_case_1,客戶J,空白測試,,測試手冊,
edge_case_2,客戶J,單一段落測試,只有一個段落,測試手冊,這是單一段落的測試內容
edge_case_3,客戶J,特殊字符測試,包含特殊符號,測試手冊,"包含@#$%特殊符號---數字123456|||英文ABC測試

中文測試內容" 